Session,Date of Measurement,Sample ID,Temperature,δ13C,δ13C standard deviation,δ18O,δ18O standard deviation,δ47,δ47 standard deviation,Δ47,Δ47 standard error,δ48,δ48 standard deviation,Δ48,Δ48 standard deviation,δ49,δ49 standard deviation,Δ49,Δ49 standard deviation
n/a,"mm/dd/yy, time",n/a,°C,"‰, VPDB",‰,"‰, VPDB",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰
3,4-29-22 3:17 PM,EBOC_25degC,25,-10.52,0.01,38.40,0.02,38.387,0.026,0.052,0.005,98.276,0.156,6.810,0.122,-17.112,0.891,-92.793,0.851
3,5-1-22 10:15 AM,EBOC_25degC,25,-9.90,0.01,38.59,0.02,39.182,0.030,0.023,0.009,98.788,0.074,6.896,0.054,-16.777,0.682,-93.392,0.666
3,5-2-22 1:53 PM,BOC_25degC,25,-10.61,0.01,-1.55,0.02,-2.381,0.042,0.032,0.007,9.360,0.181,0.734,0.149,-2.430,0.983,-4.002,1.029
3,5-3-22 4:04 PM,EBOC_25degC,25,-10.63,0.01,38.62,0.03,38.502,0.057,0.049,0.007,98.808,0.150,6.862,0.096,-15.891,1.286,-91.958,1.236
3,5-4-22 2:50 PM,BOC_25degC,25,-10.26,0.01,-0.67,0.02,-1.164,0.029,0.023,0.006,11.231,0.124,0.844,0.098,-2.139,0.873,-5.799,0.906
3,5-5-22 4:28 PM,BOC_hg,1000,-10.46,0.01,-1.60,0.01,-3.124,0.027,-0.806,0.005,8.887,0.132,0.366,0.119,-2.246,0.834,-3.868,0.855
3,5-6-22 12:58 PM,EBOC_25degC,25,-10.17,0.01,38.65,0.02,38.986,0.040,0.044,0.005,98.680,0.186,6.694,0.143,-16.699,1.293,-93.167,1.223
3,5-10-22 1:14 PM,EBOC_hg,1000,-10.18,0.02,43.50,0.03,43.077,0.047,-0.762,0.007,109.925,0.160,7.574,0.139,-16.784,1.206,-101.648,1.166
3,5-11-22 3:04 PM,BOC_25degC,25,-10.69,0.00,-1.50,0.00,-2.413,0.027,0.028,0.009,9.457,0.122,0.739,0.114,-1.860,1.335,-3.448,1.341
3,5-12-22 1:23 PM,EBOC_25degC,25,-10.73,0.01,37.60,0.01,37.377,0.033,0.064,0.007,96.010,0.107,6.267,0.086,-17.120,1.225,-91.219,1.159
3,5-14-22 2:57 PM,BOC_25degC,25,-10.45,0.00,-1.63,0.00,-2.304,0.028,0.037,0.009,9.182,0.138,0.720,0.136,-1.684,0.677,-3.255,0.677
3,5-16-22 3:41 PM,EBOC_25degC,25,-10.40,0.01,38.09,0.01,38.208,0.032,0.069,0.009,97.278,0.129,6.495,0.117,-19.513,0.835,-94.576,0.789
3,5-17-22 2:17 PM,BOC_25degC,25,-10.38,0.00,-1.04,0.01,-1.649,0.032,0.023,0.008,10.340,0.103,0.693,0.092,-1.329,1.412,-4.146,1.425
3,5-19-22 2:29 PM,BOC_hg,1000,-10.43,0.01,-1.83,0.01,-3.305,0.027,-0.781,0.008,8.491,0.119,0.443,0.115,-3.082,1.376,-4.268,1.393
3,5-20-22 12:07 PM,EBOC_25degC,25,-10.51,0.01,37.92,0.01,37.918,0.038,0.061,0.010,96.834,0.188,6.416,0.149,-17.173,1.426,-92.019,1.346
3,5-23-22 11:16 AM,BOC_25degC,25,-10.28,0.01,-0.80,0.02,-1.330,0.037,0.003,0.007,10.981,0.131,0.857,0.103,-2.073,0.857,-5.458,0.898
3,5-24-22 12:09 PM,EBOC_25degC,25,-10.13,0.00,38.38,0.01,38.761,0.026,0.061,0.007,97.944,0.167,6.544,0.144,-18.595,1.054,-94.474,0.971
3,5-31-22 3:26 PM,BOC_hg,1000,-10.46,0.01,-1.83,0.01,-3.339,0.017,-0.780,0.004,8.453,0.094,0.410,0.104,-3.396,1.110,-4.542,1.078
4,6-2-22 11:39 AM,EBOC_25degC,25,-10.46,0.00,37.78,0.01,37.865,0.026,0.097,0.007,93.772,0.178,3.868,0.153,-34.958,2.559,-108.260,2.371
4,6-6-22 3:48 PM,BOC_hg,1000,-9.78,0.00,-3.04,0.01,-3.911,0.022,-0.787,0.006,5.710,0.128,0.104,0.124,-6.662,2.371,-6.084,2.382
4,6-7-22 12:21 PM,EBOC_25degC,25,-10.15,0.00,38.07,0.01,38.434,0.029,0.055,0.009,94.783,0.138,4.234,0.120,-35.606,3.060,-109.638,2.826
4,6-8-22 11:36 AM,BOC_25degC,25,-10.07,0.00,-0.90,0.01,-1.212,0.040,0.022,0.011,10.616,0.166,0.691,0.154,-11.413,3.124,-14.777,3.130
4,6-10-22 10:51 AM,EBOC_hg,1000,-9.65,0.00,42.15,0.01,42.242,0.019,-0.759,0.007,103.251,0.204,4.101,0.176,-31.358,3.389,-113.145,3.111
4,6-13-22 11:48 AM,BOC_hg,1000,-10.08,0.00,-3.48,0.01,-4.647,0.020,-0.788,0.006,4.800,0.100,0.080,0.094,-7.822,2.348,-6.072,2.363
4,6-14-22 11:28 AM,BOC_25degC,25,-9.99,0.00,-1.02,0.00,-1.245,0.016,0.025,0.004,10.349,0.111,0.660,0.105,-12.346,2.502,-15.561,2.502
4,6-15-22 11:29 AM,EBOC_25degC,25,-10.53,0.00,37.68,0.01,37.667,0.018,0.072,0.005,93.464,0.245,3.776,0.213,-31.857,3.591,-105.161,3.332
4,6-16-22 1:07 PM,BOC_25degC,25,-10.17,0.00,-0.46,0.00,-0.856,0.021,0.029,0.007,11.451,0.193,0.639,0.189,-11.629,2.135,-15.757,2.130
4,6-17-22 3:25 PM,EBOC_hg,1000,-10.50,0.00,41.92,0.00,41.131,0.017,-0.779,0.006,102.436,0.197,3.803,0.178,-32.586,2.151,-113.125,1.972
4,6-18-22 12:15 PM,EBOC_25degC,25,-10.07,0.00,38.09,0.01,38.545,0.016,0.069,0.007,94.499,0.126,3.940,0.123,-39.553,4.039,-113.381,3.715
4,6-19-22 11:24 AM,BOC_25degC,25,-9.66,0.00,-0.31,0.00,-0.213,0.025,0.015,0.008,11.782,0.128,0.664,0.129,-11.264,3.631,-16.205,3.608
4,6-21-22 2:12 PM,BOC_hg,1000,-10.26,0.00,-2.82,0.00,-4.144,0.027,-0.786,0.009,6.140,0.091,0.083,0.089,-6.577,3.909,-5.970,3.915
4,6-22-22 11:36 AM,EBOC_25degC,25,-10.18,0.00,38.15,0.00,38.488,0.028,0.070,0.009,94.567,0.109,3.893,0.096,-36.803,2.727,-110.838,2.516
4,6-23-22 1:27 PM,BOC_25degC,25,-10.49,0.00,-1.52,0.01,-2.208,0.030,0.053,0.010,9.305,0.124,0.622,0.127,-10.776,3.216,-12.518,3.214
4,6-24-22 1:50 PM,EBOC_25degC,25,-10.11,0.00,38.29,0.01,38.694,0.029,0.059,0.009,94.802,0.094,3.832,0.082,-34.162,1.805,-108.709,1.668
4,6-25-22 12:52 PM,EBOC_hg,1000,-9.98,0.01,42.41,0.01,42.191,0.029,-0.740,0.007,103.461,0.195,3.798,0.190,-36.133,4.714,-117.661,4.301
4,6-26-22 12:01 PM,BOC_25degC,25,-9.86,0.00,-0.50,0.01,-0.599,0.023,0.015,0.007,11.315,0.136,0.566,0.117,-9.855,3.436,-14.238,3.438
4,7-3-22 11:27 AM,EBOC_25degC,25,-10.24,0.00,37.94,0.01,38.216,0.031,0.071,0.008,94.491,0.235,4.227,0.203,-40.883,3.203,-114.194,2.971
4,7-5-22 11:59 AM,BOC_25degC,25,-9.92,0.00,-0.83,0.00,-0.963,0.019,0.048,0.006,10.837,0.131,0.771,0.130,-15.989,2.051,-19.628,2.046
